Title,All Pass,Status,Screening,Tracking,Sub Date,Sales,Active,Sub By,Sub To,Film List,Type,Genre,Director,Budget,Writer,Read By,Producer,Last Updated,Cast,Script,Coverage,DVD,Logline,Notes,Festival,Screening,Priority I,Festival Wrap Up,Priority II,Bought By,Insert Coverage Text Here,Insert Script File Here,Insert Coverage File Here
Bad Blood,,Complete,,,,Arclight Eastern,,,,,,Action,Dennis Law,,Dennis Law,,Dennis Law,,"Simon Yam, Bernice Liu, Andy On, Lu Xia Jiang, Wai Man Chan, Siu Fai Cheung, Kenneth Low, Pinky Cheung, Xin Xin Xiong, Lok Yi Lai, Amy Chum
",,,," When the boss of a ruling Hong Kong triad is arrested and executed in China for counterfeiting money, mayhem ensues as the mob's leading contenders circle the throne. ","IT 750k
SCAN 50k
PORT 25k
ME 40k
UK 200k
OZ 50k",,,,,,,,,
Future X-Cops,,Complete,,,,Arclight Eastern,,,,,,SciFi Action,Jin Wong ,,Jin Wong,,Mu-Ho Tsai,05/05/2010,"Andy Lau, Jiao Xu, Barbie Hsu, BingBing Fan, Mike Ho, Louis Fan, Blackie Chen",,,,###############################################################################################################################################################################################################################################################,,Cannes 2010,"Thurs 13 - 11:30@Gray 2
Mon 17 - 20:00@Gray 2",,,,,,,
Mulan in 3D,,Pre-Production,,,,Arclight Eastern,,,,,,Epic Action,Chuck Russell ,,,,"Steve Waterman, Mark Philips, Christopher Brough",05/05/2010,Zhang Ziyi as Mulan,,,,###############################################################################################################################################################################################################################################################,,Cannes 2010,,,,,,,,
"lost bladesman, the",,Production,,,,Arclight Easternlight,,,,,,Epic Adventure,Alan Mak Siu-Fai,,Alan Mak Siu-Fai,,Liang Ting,05/05/2010,"Donnie Yen, Sun Li",,,,###############################################################################################################################################################################################################################################################,,Cannes 2010,,,,,,,,
Neither the Veil Nor the Four Walls,,In Development,,,03/11/2010,Arsam,,Illan Girard,,,Script,,Afia Serena Nathaniel,,Afia Serena Nathanielus,Susan Wrubel,Ilann Girad,,,Script,Coverage,,,"It has changed somewhat since Steve read it. I am still not sure about pre-buying the film at this stage. It is good, but I was not blown away. Updated for 3/11",,,,,,,###############################################################################################################################################################################################################################################################,,
Neither the Veil Nor the Four Walls,,Development,,,03/11/2010,Arsam,,Illan Girard,,,Script,,Afia Serena Nathaniel,,Afia Serena Nathaniel,,Ilann Girad,,TBA,,,,,"It has changed somewhat since Steve read it. I am still not sure about pre-buying the film at this stage. It is good, but I was not blown away. ",,,,,,,,,
The Precious One,,Pre-Production,,,03/11/2010,Aspect Film,,Hugh Edwards,,,Script,,Roger Spottiswoode,$8.5M,James Morcan,Sending to SM,"Mark Ordesky, Genevieve Hofmeyr",04/19/2010,"Kim Basinger, Nick Nolte, John Rhys-Davies, Kevin Hart, Arnold Vosloo, Tatyanna Ali, Viola Davis",Script,Coverage,,"Ultimate underdog story and a testimony to one man’s indomitable spirit. Follows the inspirational true story of Olympic athlete Precious McKenze MBE, who overcame incredible odds and gained success on the world stage. ","Steven reading. Not available for ME. Shooting Aug/Sept 2010 in Cape Town, South Africa",,,,,,,###############################################################################################################################################################################################################################################################,Aspect Film - THE PRECIOUS ONE.pdf,precious.doc
Balefire,,Pre Produciton,,,,AV Pictures,,,,,,Thriller,Scott Man,$20 Mil.,Rob Green,,,,,,,,###############################################################################################################################################################################################################################################################,"Production in 2010
",,,,,,,,,
bonded by blood,,Post-Production,,,,AV Pictures,,,,,,Action / Gangster,Sacha Bennett,,Graeme Muir,,,04/21/2010,"Tamar Hassan, Terry Stone, Adam Deacon",,,,###############################################################################################################################################################################################################################################################,"Selected scenes available to Screen in Cannes office
 ",Cannes 2010 ,,,,,UK: Revolver,,,
Comedown,,Pre-Production,,,,AV Pictures,,,,,,Horror,Menhaj Huda,,Steven Kendall,Steve Murphy,"Dominic Norris, Gareth Wiley",04/21/2010,"Martin Compston, Geoff Bell",,Coverage,,"Six teenage hooligans setting up the transmitter for a local pirate radio station at the top of an abandoned and decaying tower block, are targeted by a resident phychopath intent on exterminating the 'vermin' he perceives are besieging his home.",,Cannes 2010,,,,,UK: Optimum,###############################################################################################################################################################################################################################################################,,
death and all that,,Pre-Production,,,05/01/2010,AV Pictures,,Anna,,,,Comedy,Selwyn Roberts,,Selwyn Roberts,,Michael Guest,05/01/2010,"Jeremy Irons, Ray Winstone, Lauren Bacall, Michael Gambon",,,,###############################################################################################################################################################################################################################################################,,Cannes 2010,,,,,,,,
Freight,,Complete,,,,AV Pictures,,,,,,Action Thriller,Stuart St. Paul,,Stuart St. Paul,,"Martin Campbell, Luke Aikman",04/21/2010,"Bill Murray, Craig Fairbrass, Danny Midwinter",,,,"An illegal Russian gang led by the ruthless Cristi are taking over the city, trafficking Eastern Europeans into the UK, then enslaving them - the women to sex clubs, the men to illegal cage fights.", ,Cannes 2010 ,Fri 14 - 12:00 @ Gray 3,,,,UK: Icon,,,
Gladiators V Werewolves,,Pre-Production,,,,AV Pictures,,,,,,Horror Action,Rob Green,,Rob Green,,"Angad Paul, Lee Brazier",04/21/2010,,,,,Gladiators and werewolves fight to the death in the arena; the greatest fighters of ancient Rome and a ferocious tribe of captured lupine warriors clash in blood and thunder battles for the entertainment of the crowds,,Cannes 2010,,,,,UK: Icon,,,
night flower,,Pre-Production,,,04/18/2010,AV Pictures,,,,,,Thriller Romance,David Scinto,,David Scinto,,Bobby Allen,04/19/2010,"Ray Winstone, Ben Wishaw, Andrew Garfield",,,,"A young woman moves into a new flat, and discovers she is caught in the middle of revenge and murder.
 ",,Cannes 2010,,,,,,,,
Obsession,,In Devleopment,,,,AV Pictures,,,,,,Thriller,Thaddeus Osullivan,,Rob Green,Steve Murphy,"Richard Johns, Rupert Jermyn",,,,Coverage,,"A possessive Manhattan doctor takes his trophy wife's lover hostage, then sets about tormenting his captive into believing he has murder in mind.",,,,,,,,###############################################################################################################################################################################################################################################################,,
Primal,,Complete,,,,AV Pictures,,,,,,Horror,Josh Reed ,,Josh Reed,,"John Cordukes, Rob Gibson, Nigel Christensen",04/21/2010,"Krew Boylan, Zoe Tuckwell-Smith, Wil Traval, Lindsay Farris",,,,###############################################################################################################################################################################################################################################################,,Cannes 2010,"Wed 12 - 16:00 @ Gray 1, 
Thurs 13 - 12:00 @ Gray 1
",,,,,,,
Shank,,Complete,,,,AV Pictures,,,,,,Horror Thriller,Mo Ali,,Paul Van Carter,,"Nick Taussig, Terry Stone, Daniel Toland",04/21/2010,"Adam Deacon, Kaya Skadelerio",,,,It’s the near future and the streets of London throb with menace.  Gangs scavenge and fight for food – the hottest commodity - and life is cheap.,,Cannes 2010,"Thurs 13 - 16:00 @ Olympia 6, 
Sat 15 - 14:00 @ Olympia 4",,,,UK: Revolver,,,
Sleepwalker,,Pre-Production,,,05/01/2010,AV Pictures,,,,,,Thriller,Matt Wheeldon,,Matt Wheeldon,,"David Lightfoot, Ayisha Davies",05/01/2010,Robert Taylor,,,,###############################################################################################################################################################################################################################################################,,Cannes 2010,,,,,,,,
